budget,method,tracking,tracking_std,q95,feasible_rate,parameter_error,gain_error
0.75,Central,0.010731465794781568,0.0009244442366590711,0.02131509830846147,1.0,0.10065392723124002,0.0200695833247791
0.75,ExactIndividual,0.006663806149464035,3.299632875580001e-05,0.009227670199104265,1.0,0.0,0.0
0.75,Fed100,0.010761617020629805,0.000963974627865061,0.02139485894089298,1.0,0.10090928066700751,0.02014745060904715
0.75,Fed20,0.010518188751253968,0.0008693230888756327,0.021360244978037693,1.0,0.09760671738289012,0.019477850058462524
0.75,Fed50,0.010648485119204137,0.0008120538790324463,0.020493066373433913,1.0,0.09980791935184055,0.019987666052663878
0.75,Local,0.01271351274378986,0.0011343264669257302,0.026313309844361678,1.0,0.2062960191476088,0.028561683457868643
1.25,Central,0.007529787363710688,0.00030550905467439346,0.010853749663828332,1.0,0.0634667011898906,0.008930376151497858
1.25,ExactIndividual,0.006663806149464035,3.299632875580001e-05,0.009227670199104265,1.0,0.0,0.0
1.25,Fed100,0.007531260288253336,0.0003058414867748329,0.010852383170008676,1.0,0.06357198050046416,0.008940574205274313
1.25,Fed20,0.007561511329635434,0.00032573680582353336,0.010948550061191989,1.0,0.06323882305127829,0.009049395360064612
1.25,Fed50,0.00754835218627478,0.00030915016512825423,0.010857212168119284,1.0,0.06377333012955863,0.008965593639285776
1.25,Local,0.007556810350022163,0.0003056352209697172,0.011269740930072143,1.0,0.11973466941199867,0.01032230862240144
